Date,Price,Open,High,Low,Vol.,Change %
28-Jan-24,65.14,65.23,65.66,64.89,403520.0,0.93
25-Jan-24,64.54,63.26,65.74,63.26,719740.0,1.89
24-Jan-24,63.34,61.46,64.29,61.46,732580.0,3.07
23-Jan-24,61.46,61.63,62.49,61.03,356890.0,0.0
22-Jan-24,61.46,60.09,61.89,59.91,321250.0,2.28
21-Jan-24,60.09,62.23,62.23,60.09,218550.0,-1.54
18-Jan-24,61.03,61.54,62.23,59.74,322850.0,-0.7
17-Jan-24,61.46,62.57,64.03,60.77,652250.0,-1.78
16-Jan-24,62.57,62.49,63.34,62.31,258510.0,0.14
15-Jan-24,62.49,63.69,64.11,62.4,259240.0,-1.22
14-Jan-24,63.26,63.0,64.37,62.14,347020.0,0.27
11-Jan-24,63.09,61.97,63.43,61.97,379180.0,1.24
10-Jan-24,62.31,62.06,63.43,61.63,343990.0,-0.14
9-Jan-24,62.4,63.43,63.6,61.89,246880.0,-1.62
8-Jan-24,63.43,62.4,63.51,62.23,382280.0,1.79
7-Jan-24,62.31,62.91,63.6,62.23,343550.0,-0.95
4-Jan-24,62.91,62.49,64.2,62.31,377790.0,0.27
3-Jan-24,62.74,63.6,64.54,60.6,1350000.0,-1.74
2-Jan-24,63.86,64.97,67.2,63.51,1100000.0,-1.72
1-Jan-24,64.97,63.69,68.14,63.09,1690000.0,2.02
