Date,Price,Open,High,Low,Vol.,Change %
2024-08-28,55.1,55.4,55.6,54.4,738920.0,-0.36
2024-08-27,55.3,57.0,57.0,55.2,856610.0,-2.64
2024-08-26,56.8,56.6,57.2,56.4,1210000.0,0.71
2024-08-25,56.4,56.3,56.7,56.1,708000.0,0.71
2024-08-22,56.0,56.1,56.6,56.0,774100.0,-0.18
2024-08-21,56.1,56.2,56.5,55.8,553400.0,-0.36
2024-08-20,56.3,56.6,56.7,56.1,468420.0,-0.53
2024-08-19,56.6,57.5,57.5,56.3,781110.0,-1.57
2024-08-18,57.5,57.6,58.0,57.5,661610.0,-0.17
2024-08-15,57.6,56.8,57.9,56.3,1250000.0,1.59
2024-08-14,56.7,56.7,57.5,56.7,519330.00000000006,0.0
2024-08-13,56.7,57.0,57.0,56.3,313050.0,-0.35
2024-08-12,56.9,57.4,57.4,56.7,359620.0,-0.7
2024-08-11,57.3,57.4,57.9,56.9,178280.0,0.0
2024-08-08,57.3,58.0,58.9,57.3,1270000.0,-0.87
2024-08-07,57.8,57.7,58.9,57.7,599830.0,0.17
2024-08-06,57.7,56.4,58.7,56.4,588240.0,2.3
2024-08-05,56.4,57.9,58.1,55.8,762460.0,-3.09
2024-08-04,58.2,59.3,59.4,57.9,924550.0,-2.84
2024-08-01,59.9,59.7,60.2,59.6,643600.0,-0.83
2024-07-31,60.4,59.9,60.4,59.7,274480.0,0.17
2024-07-30,60.3,59.7,60.4,59.7,461150.0,0.0
2024-07-29,60.3,60.4,60.4,59.9,166910.0,-0.17
2024-07-28,60.4,60.4,60.4,59.4,300070.0,0.0
2024-07-25,60.4,59.9,60.6,59.6,301210.0,0.17
2024-07-24,60.3,60.2,60.7,59.9,273070.0,-0.5
2024-07-23,60.6,61.0,61.1,59.8,304910.0,-0.66
2024-07-22,61.0,60.0,61.2,60.0,917370.0,1.33
2024-07-21,60.2,59.7,60.2,59.4,399170.0,0.33
2024-07-18,60.0,59.7,60.4,59.4,1010000.0,0.5
